Ticker,Company,Industry_x,DamodaranIndustry,Sector,DividendYield,PayoutRatio,Industry_y,NetMargin
GEN,Gen Digital Inc.,Software - Infrastructure,Computer Services,Technology,2.65,0.5155,Computer Services,0.0531640739693299
GNRC,Generac Holdlings Inc.,Specialty Industrial Machinery,Machinery,Industrials,0.0,0.0,Machinery,0.0730366433266519
GD,General Dynamics Corporation,Aerospace & Defense,Aerospace/Defense,Industrials,1.74,0.38830003,Aerospace/Defense,0.0665426613246422
GIS,"General Mills, Inc.",Packaged Foods,Food Processing,Consumer Defensive,6.52,0.5941,Food Processing,0.0465376544493767
GM,General Motors Company,Auto Manufacturers,Auto & Truck,Consumer Cyclical,0.99,0.1743,Auto & Truck,0.0307624289711712
GILD,"Gilead Sciences, Inc.",Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,2.35,0.4661,Drugs (Pharmaceutical),0.1448971925945506
GPN,Global Payments Inc.,Specialty Business Services,Business & Consumer Services,Industrials,1.56,0.22569999,Business & Consumer Services,0.0583382792580931
GL,Globe Life Inc.,Insurance - Life,Insurance (General),Financial Services,0.93,0.076799996,Insurance (General),0.0889834173062861
GDDY,GoDaddy Inc.,Software - Infrastructure,Computer Services,Technology,0.0,0.0,Computer Services,0.0531640739693299
GS,"Goldman Sachs Group, Inc. (The)",Capital Markets,Brokerage & Investment Banking,Financial Services,2.09,0.2728,Brokerage & Investment Banking,0.1524055900547343
HAL,Halliburton Company,Oil & Gas Equipment & Services,Oilfield Svcs/Equip.,Energy,1.78,0.45330003,Oilfield Svcs/Equip.,0.0280299033502358
HIG,"The Hartford Insurance Group, I",Insurance - Diversified,Insurance (General),Financial Services,1.76,0.16219999,Insurance (General),0.0889834173062861
HAS,"Hasbro, Inc.",Leisure,Recreation,Consumer Cyclical,3.11,0.92410004,Recreation,0.0245947534270305
HCA,"HCA Healthcare, Inc.",Medical Care Facilities,Hospitals/Healthcare Facilities,Healthcare,0.66,0.1017,Hospitals/Healthcare Facilities,0.0598580650052351
HSIC,"Henry Schein, Inc.",Medical Distribution,Healthcare Support Services,Healthcare,0.0,0.0,Healthcare Support Services,0.0133728749876677
HSY,The Hershey Company,Confectioners,Food Processing,Consumer Defensive,2.82,1.2627,Food Processing,0.0465376544493767
HPE,Hewlett Packard Enterprise Comp,Communication Equipment,Telecom. Equipment,Technology,2.32,0.6118,Telecom. Equipment,0.0848934719408901
HLT,Hilton Worldwide Holdings Inc.,Lodging,Hotel/Gaming,Consumer Cyclical,0.2,0.098000005,Hotel/Gaming,0.0919912410510804
HOLX,"Hologic, Inc.",Medical Instruments & Supplies,Healthcare Products,Healthcare,0.0,0.0,Healthcare Products,0.0875149392042817
HD,"Home Depot, Inc. (The)",Home Improvement Retail,Retail (Building Supply),Consumer Cyclical,2.9,0.6465,Retail (Building Supply),0.0649028065592057
HON,Honeywell International Inc.,Conglomerates,Diversified,Industrials,2.07,0.65989995,Diversified,0.0892122836067698
HRL,Hormel Foods Corporation,Packaged Foods,Food Processing,Consumer Defensive,5.3,1.3061999,Food Processing,0.0465376544493767
HST,"Host Hotels & Resorts, Inc.",REIT - Hotel & Motel,R.E.I.T.,Real Estate,4.18,0.72730005,R.E.I.T.,0.1953228821605013
HWM,Howmet Aerospace Inc.,Aerospace & Defense,Aerospace/Defense,Industrials,0.2,0.118599996,Aerospace/Defense,0.0665426613246422
HPQ,HP Inc.,Computer Hardware,Computers/Peripherals,Technology,6.15,0.4425,Computers/Peripherals,0.1021760231059991
HUBB,Hubbell Inc,Electrical Equipment & Parts,Electrical Equipment,Industrials,1.15,0.32529998,Electrical Equipment,0.0538370808876718
HUM,Humana Inc.,Healthcare Plans,Healthcare Support Services,Healthcare,1.99,0.35979998,Healthcare Support Services,0.0133728749876677
HBAN,Huntington Bancshares Incorpora,Banks - Regional,Banks (Regional),Financial Services,3.93,0.44599998,Banks (Regional),0.3031003995191074
HII,"Huntington Ingalls Industries,",Aerospace & Defense,Aerospace/Defense,Industrials,1.39,0.35279998,Aerospace/Defense,0.0665426613246422
IBM,International Business Machines,Information Technology Services,Information Services,Technology,2.71,0.6023,Information Services,0.063456130768009
IEX,IDEX Corporation,Specialty Industrial Machinery,Machinery,Industrials,1.49,0.4399,Machinery,0.0730366433266519
IDXX,"IDEXX Laboratories, Inc.",Diagnostics & Research,Healthcare Support Services,Healthcare,0.0,0.0,Healthcare Support Services,0.0133728749876677
ITW,Illinois Tool Works Inc.,Specialty Industrial Machinery,Machinery,Industrials,2.49,0.59290004,Machinery,0.0730366433266519
INCY,Incyte Corporation,Biotechnology,Drugs (Biotechnology),Healthcare,0.0,0.0,Drugs (Biotechnology),-0.0368884917379637
IR,Ingersoll Rand Inc.,Specialty Industrial Machinery,Machinery,Industrials,0.1,0.0552,Machinery,0.0730366433266519
PODD,Insulet Corporation,Medical Devices,Healthcare Products,Healthcare,0.0,0.0,Healthcare Products,0.0875149392042817
INTC,Intel Corporation,Semiconductors,Semiconductor,Technology,0.0,0.0,Semiconductor,0.2332283405775086
IBKR,"Interactive Brokers Group, Inc.",Capital Markets,Brokerage & Investment Banking,Financial Services,0.47,0.1363,Brokerage & Investment Banking,0.1524055900547343
ICE,Intercontinental Exchange Inc.,Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,1.28,0.3328,Brokerage & Investment Banking,0.1524055900547343
IFF,International Flavors & Fragran,Specialty Chemicals,Chemical (Specialty),Basic Materials,2.21,1.6841999,Chemical (Specialty),0.0638249227197686
IP,International Paper Company,Packaging & Containers,Packaging & Container,Consumer Cyclical,5.32,1.5812,Packaging & Container,0.0429211118098205
INTU,Intuit Inc.,Software - Application,Software (System & Application),Technology,1.1,0.2915,Software (System & Application),0.2082623086514781
ISRG,"Intuitive Surgical, Inc.",Medical Instruments & Supplies,Healthcare Products,Healthcare,0.0,0.0,Healthcare Products,0.0875149392042817
IVZ,Invesco Ltd,Asset Management,Investments & Asset Management,Financial Services,3.48,0.5646,Investments & Asset Management,0.1714716416713332
INVH,Invitation Homes Inc.,REIT - Residential,R.E.I.T.,Real Estate,4.7,1.2188,R.E.I.T.,0.1953228821605013
IQV,"IQVIA Holdings, Inc.",Diagnostics & Research,Healthcare Support Services,Healthcare,0.0,0.0,Healthcare Support Services,0.0133728749876677
JBHT,"J.B. Hunt Transport Services, I",Integrated Freight & Logistics,Transportation,Industrials,0.84,0.2876,Transportation,0.0512380428450328
JBL,Jabil Inc.,Electronic Components,Electronics (General),Technology,0.12,0.0431,Electronics (General),0.0490046245014738
JKHY,"Jack Henry & Associates, Inc.",Information Technology Services,Information Services,Technology,1.49,0.33290002,Information Services,0.063456130768009
J,Jacobs Solutions Inc.,Engineering & Construction,Engineering/Construction,Industrials,1.12,0.3377,Engineering/Construction,0.0334663331515941
JNJ,Johnson & Johnson,Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,2.14,0.466,Drugs (Pharmaceutical),0.1448971925945506
JCI,Johnson Controls International,Building Products & Equipment,Building Materials,Industrials,1.2,0.5168,Building Materials,0.0652647808244452
JPM,JP Morgan Chase & Co.,Banks - Diversified,Bank (Money Center),Financial Services,2.04,0.2897,Bank (Money Center),0.3491925322792411
KVUE,Kenvue Inc.,Household & Personal Products,Household Products,Consumer Defensive,4.84,1.0855,Household Products,0.094585056896574
KDP,Keurig Dr Pepper Inc.,Beverages - Non-Alcoholic,Beverage (Soft),Consumer Defensive,3.63,0.6013,Beverage (Soft),0.114660876809851
KEY,KeyCorp,Banks - Regional,Banks (Regional),Financial Services,4.01,0.5395,Banks (Regional),0.3031003995191074
KEYS,Keysight Technologies Inc.,Scientific & Technical Instruments,Office Equipment & Services,Technology,0.0,0.0,Office Equipment & Services,0.0442518323922391
KMB,Kimberly-Clark Corporation,Household & Personal Products,Household Products,Consumer Defensive,5.33,1.037,Household Products,0.094585056896574
KIM,Kimco Realty Corporation (HC),REIT - Retail,R.E.I.T.,Real Estate,4.6,1.2317,R.E.I.T.,0.1953228821605013
KMI,"Kinder Morgan, Inc.",Oil & Gas Midstream,Oil/Gas Distribution,Energy,3.55,0.85040003,Oil/Gas Distribution,0.1006444086965307
KKR,KKR & Co. Inc.,Asset Management,Investments & Asset Management,Financial Services,0.81,0.312,Investments & Asset Management,0.1714716416713332
KLAC,KLA Corporation,Semiconductor Equipment & Materials,Semiconductor Equip,Technology,0.5,0.21540001,Semiconductor Equip,0.157353960719727
KHC,The Kraft Heinz Company,Packaged Foods,Food Processing,Consumer Defensive,7.02,0.7306,Food Processing,0.0465376544493767
KR,Kroger Company (The),Grocery Stores,Retail (Grocery and Food),Consumer Defensive,1.94,0.8701,Retail (Grocery and Food),0.0194083605201694
LHX,"L3Harris Technologies, Inc.",Aerospace & Defense,Aerospace/Defense,Industrials,1.4,0.56270003,Aerospace/Defense,0.0665426613246422
LH,Labcorp Holdings Inc.,Diagnostics & Research,Healthcare Support Services,Healthcare,1.05,0.2753,Healthcare Support Services,0.0133728749876677
LRCX,Lam Research Corporation,Semiconductor Equipment & Materials,Semiconductor Equip,Technology,0.48,0.20120001,Semiconductor Equip,0.157353960719727
LVS,Las Vegas Sands Corp.,Resorts & Casinos,Hotel/Gaming,Consumer Cyclical,1.93,0.4255,Hotel/Gaming,0.0919912410510804
LDOS,"Leidos Holdings, Inc.",Information Technology Services,Information Services,Technology,1.05,0.1463,Information Services,0.063456130768009
LEN,Lennar Corporation,Residential Construction,Homebuilding,Consumer Cyclical,2.31,0.2878,Homebuilding,0.073044337429961
LII,"Lennox International, Inc.",Building Products & Equipment,Building Materials,Industrials,1.14,0.2216,Building Materials,0.0652647808244452
LLY,Eli Lilly and Company,Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,0.67,0.26139998,Drugs (Pharmaceutical),0.1448971925945506
LIN,Linde plc,Specialty Chemicals,Chemical (Specialty),Basic Materials,1.27,0.4107,Chemical (Specialty),0.0638249227197686
LYV,"Live Nation Entertainment, Inc.",Entertainment,Entertainment,Communication Services,0.0,0.0,Entertainment,0.0519573206938368
LMT,Lockheed Martin Corporation,Aerospace & Defense,Aerospace/Defense,Industrials,2.17,0.62119997,Aerospace/Defense,0.0665426613246422
L,Loews Corporation,Insurance - Property & Casualty,Insurance (General),Financial Services,0.23,0.031400003,Insurance (General),0.0889834173062861
LOW,"Lowe's Companies, Inc.",Home Improvement Retail,Retail (Building Supply),Consumer Cyclical,2.08,0.40080002,Retail (Building Supply),0.0649028065592057
LULU,lululemon athletica inc.,Apparel Retail,Retail (Special Lines),Consumer Cyclical,0.0,0.0,Retail (Special Lines),0.0456977107490382
LITE,Lumentum Holdings Inc.,Communication Equipment,Telecom. Equipment,Technology,0.0,0.0,Telecom. Equipment,0.0848934719408901
MTB,M&T Bank Corporation,Banks - Regional,Banks (Regional),Financial Services,2.85,0.3353,Banks (Regional),0.3031003995191074
MPC,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,Oil/Gas Distribution,Energy,1.58,0.2821,Oil/Gas Distribution,0.1006444086965307
MAR,Marriott International,Lodging,Hotel/Gaming,Consumer Cyclical,0.81,0.2776,Hotel/Gaming,0.0919912410510804
MRSH,Marsh,Insurance Brokers,Insurance (General),Financial Services,2.06,0.4069,Insurance (General),0.0889834173062861
MLM,"Martin Marietta Materials, Inc.",Building Materials,Building Materials,Basic Materials,0.56,0.1983,Building Materials,0.0652647808244452
MAS,Masco Corporation,Building Products & Equipment,Building Materials,Industrials,2.17,0.32119998,Building Materials,0.0652647808244452
MA,Mastercard Incorporated,Credit Services,Insurance (General),Financial Services,0.71,0.184,Insurance (General),0.0889834173062861
MKC,"McCormick & Company, Incorporat",Packaged Foods,Food Processing,Consumer Defensive,3.93,0.3,Food Processing,0.0465376544493767
MCD,McDonald's Corporation,Restaurants,Restaurant/Dining,Consumer Cyclical,2.42,0.6,Restaurant/Dining,0.0540521790933082
MCK,McKesson Corporation,Medical Distribution,Healthcare Support Services,Healthcare,0.37,0.0883,Healthcare Support Services,0.0133728749876677
MDT,Medtronic plc.,Medical Devices,Healthcare Products,Healthcare,3.28,0.79050004,Healthcare Products,0.0875149392042817
MRK,"Merck & Company, Inc.",Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,2.81,0.45049998,Drugs (Pharmaceutical),0.1448971925945506
META,"Meta Platforms, Inc.",Internet Content & Information,Software (Internet),Communication Services,0.37,0.08939999,Software (Internet),0.0348328046453678
MET,"MetLife, Inc.",Insurance - Life,Insurance (General),Financial Services,3.21,0.4772,Insurance (General),0.0889834173062861
MTD,"Mettler-Toledo International, I",Diagnostics & Research,Healthcare Support Services,Healthcare,0.0,0.0,Healthcare Support Services,0.0133728749876677
MGM,MGM Resorts International,Resorts & Casinos,Hotel/Gaming,Consumer Cyclical,0.0,0.0,Hotel/Gaming,0.0919912410510804
MCHP,Microchip Technology Incorporat,Semiconductors,Semiconductor,Technology,2.77,3.1772,Semiconductor,0.2332283405775086
MU,"Micron Technology, Inc.",Semiconductors,Semiconductor,Technology,0.16,0.0217,Semiconductor,0.2332283405775086
MSFT,Microsoft Corporation,Software - Infrastructure,Computer Services,Technology,0.97,0.21280001,Computer Services,0.0531640739693299
MAA,Mid-America Apartment Communiti,REIT - Residential,R.E.I.T.,Real Estate,4.9,1.6032001,R.E.I.T.,0.1953228821605013
MRNA,"Moderna, Inc.",Biotechnology,Drugs (Biotechnology),Healthcare,0.0,0.0,Drugs (Biotechnology),-0.0368884917379637
TAP,Molson Coors Beverage Company,Beverages - Brewers,Beverage (Alcoholic),Consumer Defensive,4.36,0.35900003,Beverage (Alcoholic),0.12458699782696
MDLZ,"Mondelez International, Inc.",Confectioners,Food Processing,Consumer Defensive,3.48,1.0265,Food Processing,0.0465376544493767
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,Semiconductor,Technology,0.72,0.48520002,Semiconductor,0.2332283405775086
MNST,Monster Beverage Corporation,Beverages - Non-Alcoholic,Beverage (Soft),Consumer Defensive,0.0,0.0,Beverage (Soft),0.114660876809851
MCO,Moody's Corporation,Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,0.93,0.2751,Brokerage & Investment Banking,0.1524055900547343
MS,Morgan Stanley,Capital Markets,Brokerage & Investment Banking,Financial Services,2.41,0.3771,Brokerage & Investment Banking,0.1524055900547343
MOS,Mosaic Company (The),Agricultural Inputs,Chemical (Basic),Basic Materials,3.36,0.5176,Chemical (Basic),-0.0036335503198836
MSI,"Motorola Solutions, Inc.",Communication Equipment,Telecom. Equipment,Technology,1.1,0.3514,Telecom. Equipment,0.0848934719408901
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,1.51,0.4589,Brokerage & Investment Banking,0.1524055900547343
NDAQ,"Nasdaq, Inc.",Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,1.25,0.3398,Brokerage & Investment Banking,0.1524055900547343
NTAP,"NetApp, Inc.",Software - Infrastructure,Computer Services,Technology,2.01,0.349,Computer Services,0.0531640739693299
NFLX,"Netflix, Inc.",Entertainment,Entertainment,Communication Services,0.0,0.0,Entertainment,0.0519573206938368
NEM,Newmont Corporation,Gold,Precious Metals,Basic Materials,0.91,0.1565,Precious Metals,0.1514960483683257
NWSA,News Corporation,Entertainment,Entertainment,Communication Services,0.82,0.2597,Entertainment,0.0519573206938368
NWS,News Corporation,Entertainment,Entertainment,Communication Services,0.71,0.2597,Entertainment,0.0519573206938368
NEE,"NextEra Energy, Inc.",Utilities - Regulated Electric,Utility (General),Utilities,2.68,0.6867,Utility (General),0.0778810584390676
NKE,"Nike, Inc.",Footwear & Accessories,Shoe,Consumer Cyclical,3.71,1.0658001,Shoe,0.0581794592055374
NI,NiSource Inc,Utilities - Regulated Gas,Utility (General),Utilities,2.53,0.5744,Utility (General),0.0778810584390676
NDSN,Nordson Corporation,Specialty Industrial Machinery,Machinery,Industrials,1.25,0.3463,Machinery,0.0730366433266519
NSC,Norfolk Southern Corporation,Railroads,Transportation (Railroads),Industrials,1.88,0.42349997,Transportation (Railroads),0.156730585595564
NTRS,Northern Trust Corporation,Asset Management,Investments & Asset Management,Financial Services,2.21,0.3547,Investments & Asset Management,0.1714716416713332
NOC,Northrop Grumman Corporation,Aerospace & Defense,Aerospace/Defense,Industrials,1.32,0.3091,Aerospace/Defense,0.0665426613246422
NCLH,Norwegian Cruise Line Holdings,Travel Services,Recreation,Consumer Cyclical,0.0,0.0,Recreation,0.0245947534270305
NRG,"NRG Energy, Inc.",Utilities - Independent Power Producers,Utility (General),Utilities,1.24,0.4389,Utility (General),0.0778810584390676
NUE,Nucor Corporation,Steel,Steel,Basic Materials,1.3,0.29389998,Steel,0.0242422784564162
NVDA,NVIDIA Corporation,Semiconductors,Semiconductor,Technology,0.02,0.0082,Semiconductor,0.2332283405775086
NVR,"NVR, Inc.",Residential Construction,Homebuilding,Consumer Cyclical,0.0,0.0,Homebuilding,0.073044337429961
NXPI,NXP Semiconductors N.V.,Semiconductors,Semiconductor,Technology,2.08,0.5102,Semiconductor,0.2332283405775086
ORLY,"O'Reilly Automotive, Inc.",Auto Parts,Auto Parts,Consumer Cyclical,0.0,0.0,Auto Parts,0.0289843197164109
OXY,Occidental Petroleum Corporatio,Oil & Gas E&P,Oil/Gas (Production and Exploration),Energy,1.65,0.7111,Oil/Gas (Production and Exploration),0.1571861437725601
ODFL,"Old Dominion Freight Line, Inc.",Trucking,Trucking,Industrials,0.59,0.2314,Trucking,0.0334738640118972
OMC,Omnicom Group Inc.,Advertising Agencies,Advertising,Communication Services,4.28,0.413,Advertising,0.0138633425611893
ON,ON Semiconductor Corporation,Semiconductors,Semiconductor,Technology,0.0,0.0,Semiconductor,0.2332283405775086
OKE,"ONEOK, Inc.",Oil & Gas Midstream,Oil/Gas Distribution,Energy,4.71,0.7601,Oil/Gas Distribution,0.1006444086965307
ORCL,Oracle Corporation,Software - Infrastructure,Computer Services,Technology,1.37,0.35909998,Computer Services,0.0531640739693299
OTIS,Otis Worldwide Corporation,Specialty Industrial Machinery,Machinery,Industrials,2.16,0.4714,Machinery,0.0730366433266519
PCAR,PACCAR Inc.,Farm & Heavy Construction Machinery,Machinery,Industrials,1.12,0.2927,Machinery,0.0730366433266519
PKG,Packaging Corporation of Americ,Packaging & Containers,Packaging & Container,Consumer Cyclical,2.45,0.5828,Packaging & Container,0.0429211118098205
PLTR,Palantir Technologies Inc.,Software - Infrastructure,Computer Services,Technology,0.0,0.0,Computer Services,0.0531640739693299
PANW,"Palo Alto Networks, Inc.",Software - Infrastructure,Computer Services,Technology,0.0,0.0,Computer Services,0.0531640739693299
PH,Parker-Hannifin Corporation,Specialty Industrial Machinery,Machinery,Industrials,0.79,0.2565,Machinery,0.0730366433266519
PAYX,"Paychex, Inc.",Software - Application,Software (System & Application),Technology,4.71,0.9536,Software (System & Application),0.2082623086514781
PYPL,"PayPal Holdings, Inc.",Credit Services,Insurance (General),Financial Services,1.24,0.025899999,Insurance (General),0.0889834173062861
PNR,Pentair plc.,Specialty Industrial Machinery,Machinery,Industrials,1.21,0.2545,Machinery,0.0730366433266519
PEP,"Pepsico, Inc.",Beverages - Non-Alcoholic,Beverage (Soft),Consumer Defensive,3.62,0.9371,Beverage (Soft),0.114660876809851
PFE,"Pfizer, Inc.",Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,6.07,1.2647,Drugs (Pharmaceutical),0.1448971925945506
PCG,Pacific Gas & Electric Co.,Utilities - Regulated Electric,Utility (General),Utilities,1.13,0.105900005,Utility (General),0.0778810584390676
PM,Philip Morris International Inc,Tobacco,Tobacco,Consumer Defensive,3.72,0.7765,Tobacco,0.1922012745010309
PSX,Phillips 66,Oil & Gas Refining & Marketing,Oil/Gas Distribution,Energy,2.88,0.4402,Oil/Gas Distribution,0.1006444086965307
PNW,Pinnacle West Capital Corporati,Utilities - Regulated Electric,Utility (General),Utilities,3.54,0.7119,Utility (General),0.0778810584390676
PNC,"PNC Financial Services Group, I",Banks - Regional,Banks (Regional),Financial Services,3.21,0.3978,Banks (Regional),0.3031003995191074
POOL,Pool Corporation,Industrial Distribution,Retail (Distributors),Industrials,2.46,0.4562,Retail (Distributors),0.037896059214654
PPG,"PPG Industries, Inc.",Specialty Chemicals,Chemical (Specialty),Basic Materials,2.75,0.4017,Chemical (Specialty),0.0638249227197686
PPL,PPL Corporation,Utilities - Regulated Electric,Utility (General),Utilities,2.95,0.6855,Utility (General),0.0778810584390676
PFG,Principal Financial Group Inc,Asset Management,Investments & Asset Management,Financial Services,3.47,0.58669996,Investments & Asset Management,0.1714716416713332
PG,Procter & Gamble Company (The),Household & Personal Products,Household Products,Consumer Defensive,2.95,0.6188,Household Products,0.094585056896574
PGR,Progressive Corporation (The),Insurance - Property & Casualty,Insurance (General),Financial Services,7.12,0.7228,Insurance (General),0.0889834173062861
PLD,"Prologis, Inc.",REIT - Industrial,R.E.I.T.,Real Estate,3.2,1.1348001,R.E.I.T.,0.1953228821605013
PRU,"Prudential Financial, Inc.",Insurance - Life,Insurance (General),Financial Services,5.59,0.5405,Insurance (General),0.0889834173062861
PEG,Public Service Enterprise Group,Utilities - Regulated Electric,Utility (General),Utilities,3.28,0.59720004,Utility (General),0.0778810584390676
PTC,PTC Inc.,Software - Application,Software (System & Application),Technology,0.0,0.0,Software (System & Application),0.2082623086514781
PSA,Public Storage,REIT - Industrial,R.E.I.T.,Real Estate,4.28,1.3319,R.E.I.T.,0.1953228821605013
PHM,"PulteGroup, Inc.",Residential Construction,Homebuilding,Consumer Cyclical,0.89,0.08270001,Homebuilding,0.073044337429961
PWR,"Quanta Services, Inc.",Engineering & Construction,Engineering/Construction,Industrials,0.08,0.060300004,Engineering/Construction,0.0334663331515941
QCOM,QUALCOMM Incorporated,Semiconductors,Semiconductor,Technology,2.81,0.7097,Semiconductor,0.2332283405775086
DGX,Quest Diagnostics Incorporated,Diagnostics & Research,Healthcare Support Services,Healthcare,1.74,0.36,Healthcare Support Services,0.0133728749876677
Q,"Qnity Electronics, Inc.",Semiconductor Equipment & Materials,Semiconductor Equip,Technology,0.12,0.0182,Semiconductor Equip,0.157353960719727
RL,Ralph Lauren Corporation,Apparel Manufacturing,Apparel,Consumer Cyclical,1.05,0.24229999,Apparel,0.0690391635193603
RJF,"Raymond James Financial, Inc.",Asset Management,Investments & Asset Management,Financial Services,1.52,0.19940001,Investments & Asset Management,0.1714716416713332
RTX,RTX Corporation,Aerospace & Defense,Aerospace/Defense,Industrials,1.39,0.53830004,Aerospace/Defense,0.0665426613246422
O,Realty Income Corporation,REIT - Retail,R.E.I.T.,Real Estate,5.2,2.7547,R.E.I.T.,0.1953228821605013
REG,Regency Centers Corporation,REIT - Retail,R.E.I.T.,Real Estate,3.92,1.0177,R.E.I.T.,0.1953228821605013
REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology,Drugs (Biotechnology),Healthcare,0.49,0.0849,Drugs (Biotechnology),-0.0368884917379637
RF,Regions Financial Corporation,Banks - Regional,Banks (Regional),Financial Services,3.95,0.44779998,Banks (Regional),0.3031003995191074
RSG,"Republic Services, Inc.",Waste Management,Environmental & Waste Services,Industrials,1.12,0.3518,Environmental & Waste Services,0.0638496166263914
RMD,ResMed Inc.,Medical Instruments & Supplies,Healthcare Products,Healthcare,1.07,0.2235,Healthcare Products,0.0875149392042817
RVTY,"Revvity, Inc.",Diagnostics & Research,Healthcare Support Services,Healthcare,0.31,0.1359,Healthcare Support Services,0.0133728749876677
HOOD,"Robinhood Markets, Inc.",Capital Markets,Brokerage & Investment Banking,Financial Services,0.0,0.0,Brokerage & Investment Banking,0.1524055900547343
ROK,"Rockwell Automation, Inc.",Specialty Industrial Machinery,Machinery,Industrials,1.51,0.6069,Machinery,0.0730366433266519
ROL,"Rollins, Inc.",Personal Services,Business & Consumer Services,Consumer Cyclical,1.35,0.6228,Business & Consumer Services,0.0583382792580931
ROP,"Roper Technologies, Inc.",Software - Application,Software (System & Application),Technology,1.02,0.2324,Software (System & Application),0.2082623086514781
ROST,"Ross Stores, Inc.",Apparel Retail,Retail (Special Lines),Consumer Cyclical,0.81,0.2451,Retail (Special Lines),0.0456977107490382
RCL,Royal Caribbean Cruises Ltd.,Travel Services,Recreation,Consumer Cyclical,1.55,0.2242,Recreation,0.0245947534270305
SPGI,S&P Global Inc.,Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,0.9,0.2619,Brokerage & Investment Banking,0.1524055900547343
CRM,"Salesforce, Inc.",Software - Application,Software (System & Application),Technology,0.94,0.2133,Software (System & Application),0.2082623086514781
SNDK,Sandisk Corporation,Computer Hardware,Computers/Peripherals,Technology,0.0,0.0,Computers/Peripherals,0.1021760231059991
SBAC,SBA Communications Corporation,REIT - Specialty,R.E.I.T.,Real Estate,2.45,0.45310003,R.E.I.T.,0.1953228821605013
SLB,SLB Limited,Oil & Gas Equipment & Services,Oilfield Svcs/Equip.,Energy,2.39,0.48509997,Oilfield Svcs/Equip.,0.0280299033502358
STX,Seagate Technology Holdings PLC,Computer Hardware,Computers/Peripherals,Technology,0.69,0.32770002,Computers/Peripherals,0.1021760231059991
SRE,DBA Sempra,Utilities - Diversified,Utility (General),Utilities,2.65,0.9382,Utility (General),0.0778810584390676
NOW,"ServiceNow, Inc.",Software - Application,Software (System & Application),Technology,0.0,0.0,Software (System & Application),0.2082623086514781
SHW,Sherwin-Williams Company (The),Specialty Chemicals,Chemical (Specialty),Basic Materials,1.01,0.308,Chemical (Specialty),0.0638249227197686
SPG,"Simon Property Group, Inc.",REIT - Retail,R.E.I.T.,Real Estate,4.58,0.6034,R.E.I.T.,0.1953228821605013
SWKS,"Skyworks Solutions, Inc.",Semiconductors,Semiconductor,Technology,5.15,1.0805,Semiconductor,0.2332283405775086
SJM,The J.M. Smucker Company,Packaged Foods,Food Processing,Consumer Defensive,4.61,0.8606,Food Processing,0.0465376544493767
SW,Smurfit WestRock plc,Packaging & Containers,Packaging & Container,Consumer Cyclical,4.6,1.2955999,Packaging & Container,0.0429211118098205
SNA,Snap-On Incorporated,Tools & Accessories,Machinery,Industrials,2.67,0.4617,Machinery,0.0730366433266519
SOLV,Solventum Corporation,Medical Instruments & Supplies,Healthcare Products,Healthcare,0.0,0.0,Healthcare Products,0.0875149392042817
SO,Southern Company (The),Utilities - Regulated Electric,Utility (General),Utilities,3.04,0.75,Utility (General),0.0778810584390676
LUV,Southwest Airlines Company,Airlines,Air Transport,Industrials,1.91,0.9114,Air Transport,0.0490659956299534
SWK,"Stanley Black & Decker, Inc.",Tools & Accessories,Machinery,Industrials,4.84,1.2452999,Machinery,0.0730366433266519
SBUX,Starbucks Corporation,Restaurants,Restaurant/Dining,Consumer Cyclical,2.74,2.0417,Restaurant/Dining,0.0540521790933082
STT,State Street Corporation,Asset Management,Investments & Asset Management,Financial Services,2.61,0.3404,Investments & Asset Management,0.1714716416713332
STLD,"Steel Dynamics, Inc.",Steel,Steel,Basic Materials,1.13,0.25030002,Steel,0.0242422784564162
STE,STERIS plc (Ireland),Medical Devices,Healthcare Products,Healthcare,1.12,0.33470002,Healthcare Products,0.0875149392042817
SYK,Stryker Corporation,Medical Devices,Healthcare Products,Healthcare,1.06,0.4048,Healthcare Products,0.0875149392042817
SMCI,"Super Micro Computer, Inc.",Computer Hardware,Computers/Peripherals,Technology,0.0,0.0,Computers/Peripherals,0.1021760231059991
SYF,Synchrony Financial,Credit Services,Insurance (General),Financial Services,1.75,0.123900004,Insurance (General),0.0889834173062861
SNPS,"Synopsys, Inc.",Software - Infrastructure,Computer Services,Technology,0.0,0.0,Computer Services,0.0531640739693299
SYY,Sysco Corporation,Food Distribution,Food Wholesalers,Consumer Defensive,3.04,0.5741,Food Wholesalers,0.0100550786385296
